Box,32.125,224.25,127.875,127.75,,,,
Box,256.186,160.038,95.6629,95.9015,,,,
Box,416.144,255.955,127.538,64.1515,,,,
Box,704.193,704.318,95.9129,63.5265,,,,
Box,704.084,480.264,63.7716,63.5265,,,,
Box,160,320,543.911,32.0417,,,,
Box,0,0,799.042,32.0417,,,,
Box,1,767.909,799.042,32.0417,,,,
Box,32.3636,576.455,415.223,32.0417,,,,
Box,32.3333,672.333,255.375,32.0417,,,,
Box,96.2727,415.818,383.496,32.0417,,,,
Box,416.273,448.091,352.042,32.0417,,,,
Box,351.898,159.633,416.167,32.0417,,,,
Box,416.182,608.182,223.769,32.0417,,,,
Box,608.098,352.265,95.7689,32.0417,,,,
Box,224.098,128.265,64.2689,31.7373,,,,
Box,736.045,671.997,63.9564,32.0417,,,,
Box,672.065,480.224,31.9053,31.6938,,,,
Box,768.247,33.2236,31.9053,638.694,,,,
Box,0.246706,33.2236,31.9053,735.027,,,,
Polygon,288,128,0,0,0 0,0 31.75,31.875 31.9375,
Polygon,480.25,416.375,0,0,0 0,0 31.75,31.875 31.9375,
Polygon,447.917,576.042,0,0,0 0,0 31.75,31.875 31.9375,
Polygon,704.061,704.029,0,0,0 0,0 31.75,31.875 31.9375,
Polygon,543.864,256.03,0,0,0 0,0 63.5019,64.2386 63.8769,
Polygon,192.184,159.984,0,0,0 0,0 31.75,31.875 31.9375,
Player,719.151333333333,201.228733333333,32,32,,,,
